,state,sat_participation_18,sat_evidence-based_reading_and_writing_18,sat_math_18,sat_total_18
1,Alabama,6,595,571,1166
2,Alaska,43,562,544,1106
3,Arizona,29,577,572,1149
4,Arkansas,5,592,576,1169
5,California,60,540,536,1076
6,Colorado,100,519,506,1025
7,Connecticut,100,535,519,1053
8,Delaware,100,505,492,998
9,District of Columbia,92,497,480,977
10,Florida,97,522,493,1014
11,Georgia,70,542,522,1064
12,Hawaii,56,550,549,1099
13,Idaho,100,508,493,1001
14,Illinois,99,513,506,1019
15,Indiana,67,546,539,1086
16,Iowa,3,634,631,1265
17,Kansas,4,633,631,1265
18,Kentucky,4,630,618,1248
19,Louisiana,4,615,595,1210
20,Maine,99,512,501,1013
21,Maryland,76,545,535,1080
22,Massachusetts,80,562,563,1125
23,Michigan,100,511,499,1011
24,Minnesota,4,643,655,1298
25,Mississippi,3,630,606,1236
26,Missouri,4,633,629,1262
27,Montana,10,606,592,1198
28,Nebraska,3,629,623,1252
29,Nevada,23,574,566,1140
30,New Hampshire,96,535,528,1063
31,New Jersey,82,547,547,1094
32,New Mexico,16,552,540,1093
33,New York,79,534,534,1068
34,North Carolina,52,554,543,1098
35,North Dakota,2,640,643,1283
36,Ohio,18,552,547,1099
37,Oklahoma,8,541,521,1062
38,Oregon,48,564,553,1117
39,Pennsylvania,70,547,539,1086
40,Rhode Island,97,513,505,1018
41,South Carolina,55,547,523,1070
42,South Dakota,3,622,618,1241
43,Tennessee,6,624,607,1231
44,Texas,64,520,512,1032
45,Utah,4,618,612,1230
46,Vermont,61,565,554,1120
47,Virginia,68,567,550,1117
48,Washington,69,543,538,1081
49,West Virginia,28,513,486,999
50,Wisconsin,3,641,653,1294
51,Wyoming,3,633,625,1257
